ID,Rank,Name,GENDER,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,card
227203,2,Alexia Putellas,F,91,82,89,90,91,72,80,81,82,91,91,86,88,87,89,88,92,85,91,90,89,91,90,89,91,92,92,78,74,60,81,64,85,85,81,70,CM,5,5,Left,"173cm / 5'8""",68kg / 150lb,"['CAM', 'CDM']",32,Spain,Liga F Moeve,FC Barcelona,"['First Touch+', 'Finesse Shot', 'Gamechanger', 'Incisive Pass', 'Inventive', 'Technical', 'Tiki Taka']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexia-putellas/227203,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/227203_en.webp
241667,4,Aitana Bonmatí,F,91,85,87,86,91,77,75,84,86,91,91,79,89,80,70,74,90,77,91,90,78,92,93,86,91,91,85,88,54,75,81,67,76,82,75,64,CM,5,4,Right,"163cm / 5'4""",53kg / 117lb,['CAM'],28,Spain,Liga F Moeve,FC Barcelona,"['Technical+', 'First Touch', 'Incisive Pass', 'Inventive', 'Low Driven Shot', 'Pinged Pass', 'Tiki Taka']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/aitana-bonmati/241667,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/241667_en.webp
227102,7,Caroline Graham Hansen,F,90,89,87,88,90,47,76,90,88,87,86,88,88,89,79,90,89,85,89,84,92,92,94,75,83,90,84,35,71,45,50,46,84,87,74,66,RW,5,5,Right,"175cm / 5'9""",62kg / 137lb,['RM'],31,Norway,Liga F Moeve,FC Barcelona,"['Trickster+', 'Finesse Shot', 'First Touch', 'Long Ball Pass', 'Quick Step', 'Technical']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/caroline-graham-hansen/227102,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/227102_en.webp
258980,13,Alessia Russo,F,89,82,88,70,87,39,73,81,82,90,90,88,86,84,76,64,69,65,81,60,64,89,81,73,89,90,84,34,90,29,37,35,91,72,79,55,ST,3,4,Right,"173cm / 5'8""",64kg / 141lb,"['CAM', 'CM']",27,England,Barclays WSL,Arsenal,"['Precision Header+', 'Aerial Fortress', 'Enforcer', 'Finesse Shot', 'First Touch', 'Rapid']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alessia-russo/258980,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/258980_en.webp
237288,16,Mariona,F,89,78,84,86,90,76,79,81,76,81,89,75,89,56,80,84,88,72,89,89,75,90,92,93,86,89,84,79,61,75,80,77,73,93,78,65,CM,4,4,Right,"165cm / 5'5""",62kg / 137lb,"['CDM', 'RW', 'CAM']",30,Spain,Barclays WSL,Arsenal,"['Relentless+', 'First Touch', 'Incisive Pass', 'Inventive', 'Long Ball Pass', 'Technical', 'Tiki Taka']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mariona/237288,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/237288_en.webp
237289,17,Patri Guijarro,F,89,78,82,83,87,86,83,78,78,80,80,89,91,58,70,69,84,66,90,92,75,86,82,87,86,90,84,84,84,86,87,85,90,78,85,82,CDM,4,4,Right,"170cm / 5'7""",73kg / 161lb,['CM'],27,Spain,Liga F Moeve,FC Barcelona,"['Long Ball Pass+', 'Aerial Fortress', 'First Touch', 'Incisive Pass', 'Inventive', 'Press Proven', 'Tiki Taka']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/patri-guijarro/237289,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/237289_en.webp
246219,21,Khadija Shaw,F,89,71,89,71,81,32,85,72,71,91,93,93,84,77,75,59,79,63,78,68,58,82,62,48,88,89,86,25,91,23,30,20,92,83,91,71,ST,4,3,Right,"180cm / 5'11""",70kg / 154lb,,29,Jamaica,Barclays WSL,Manchester City,"['Precision Header+', 'Enforcer', 'Low Driven Shot', 'Press Proven']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/khadija-shaw/246219,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/246219_en.webp
236479,25,Mapi León,F,89,75,68,79,76,90,82,73,77,70,61,78,78,49,64,81,62,85,85,84,82,68,73,86,90,82,91,90,83,91,90,89,88,75,85,84,CB,3,2,Left,"170cm / 5'7""",58kg / 128lb,,30,Spain,Liga F Moeve,FC Barcelona,"['Slide Tackle+', 'Dead Ball', 'Jockey', 'Long Ball Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mapi-leon/236479,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/236479_en.webp
246272,29,Marie Katoto,F,88,85,87,77,84,39,74,88,82,91,90,84,83,91,82,71,79,72,85,70,71,84,84,68,82,87,86,27,91,37,35,30,95,71,85,44,ST,4,4,Right,"177cm / 5'10""",66kg / 146lb,,27,France,Arkema PL,OL Lyonnes,"['Precision Header+', 'Aerial Fortress', 'Press Proven']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marie-katoto/246272,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/246272_en.webp
227361,31,Kadidiatou Diani,F,88,92,85,81,88,56,79,91,93,88,90,79,84,74,71,79,84,70,87,74,74,87,89,84,84,89,88,55,81,46,60,49,89,80,89,52,RW,4,4,Right,"168cm / 5'6""",64kg / 141lb,"['ST', 'RM']",31,France,Arkema PL,OL Lyonnes,"['Finesse Shot+', 'Enforcer', 'Gamechanger', 'Precision Header', 'Quick Step', 'Technical']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kadidiatou-diani/227361,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/227361_en.webp
